state,year,total_revenue,prop_tax,gen_sales_tax,select_sales_tax,income_tax,net_corp_income_tax,gift_death_tax,unemployment_tax
Washington,2012,"$10,073 ","$1,340 ","$1,921 ",$694 ,$0 ,$0 ,$15 ,$211 
West Virginia,2012,"$9,163 ",$772 ,$687 ,$757 ,$945 ,$104 ,$0 ,$126 
Wisconsin,2012,"$8,893 ","$1,578 ",$807 ,$489 ,"$1,179 ",$163 ,$0 ,$219 
Wyoming,2012,"$18,089 ","$2,236 ","$1,587 ",$295 ,$0 ,$0 ,$0 ,$234 
Alabama,2013,"$9,463 ",$524 ,$876 ,$558 ,$680 ,$79 ,$0 ,$197 
Alaska,2013,"$23,824 ","$1,910 ",$295 ,$468 ,$0 ,$855 ,$0 ,$613 
Arizona,2013,"$8,820 ","$1,026 ","$1,440 ",$304 ,$518 ,$101 ,$0 ,$133 
Arkansas,2013,"$9,102 ",$659 ,"$1,305 ",$469 ,$897 ,$136 ,$0 ,$290 
California,2013,"$12,896 ","$1,370 ","$1,155 ",$499 ,"$1,745 ",$195 ,$0 ,$337 
Colorado,2013,"$10,399 ","$1,351 ","$1,095 ",$424 ,"$1,050 ",$124 ,$0 ,$304 
Connecticut,2013,"$12,306 ","$2,676 ","$1,063 ",$775 ,"$2,164 ",$158 ,$117 ,$477 
DC,2013,"$21,866 ","$3,055 ","$1,684 ",$660 ,"$2,545 ",$703 ,$62 ,$281 
Delaware,2013,"$11,835 ",$802 ,$0 ,$541 ,"$1,282 ",$340 ,$22 ,$267 
Florida,2013,"$8,834 ","$1,215 ","$1,160 ",$619 ,$0 ,$106 ,$0 ,$226 
Georgia,2013,"$8,249 ","$1,026 ",$916 ,$323 ,$879 ,$80 ,$0 ,$172 
Hawaii,2013,"$11,781 ",$934 ,"$2,191 ",$859 ,"$1,220 ",$87 ,$10 ,$479 
Idaho,2013,"$8,210 ",$892 ,$818 ,$300 ,$799 ,$124 ,$0 ,$399 
Illinois,2013,"$11,135 ","$1,983 ",$956 ,$711 ,"$1,276 ",$344 ,$24 ,$496 
Indiana,2013,"$8,396 ",$927 ,"$1,034 ",$573 ,$934 ,$119 ,$25 ,$239 
Iowa,2013,"$11,645 ","$1,497 ","$1,009 ",$426 ,"$1,141 ",$138 ,$28 ,$400 
Kansas,2013,"$10,021 ","$1,399 ","$1,310 ",$374 ,"$1,020 ",$133 ,$0 ,$296 
Kentucky,2013,"$8,668 ",$729 ,$684 ,$616 ,"$1,107 ",$174 ,$9 ,$234 
Louisiana,2013,"$10,500 ",$818 ,"$1,455 ",$537 ,$592 ,$55 ,$0 ,$108 
Maine,2013,"$9,982 ","$1,831 ",$804 ,$536 ,"$1,149 ",$129 ,$59 ,$267 
Maryland,2013,"$10,827 ","$1,480 ",$690 ,$672 ,"$2,052 ",$160 ,$39 ,$346 
Massachusetts,2013,"$12,166 ","$2,120 ",$767 ,$385 ,"$1,906 ",$280 ,$46 ,$565 
Michigan,2013,"$9,733 ","$1,310 ",$851 ,$413 ,$862 ,$90 ,$0 ,$381 
Minnesota,2013,"$12,073 ","$1,495 ","$1,093 ",$809 ,"$1,718 ",$225 ,$30 ,$509 
Mississippi,2013,"$10,055 ",$889 ,"$1,069 ",$498 ,$588 ,$139 ,$0 ,$179 
Missouri,2013,"$9,148 ",$958 ,$874 ,$372 ,$948 ,$75 ,$0 ,$223 
Montana,2013,"$10,180 ","$1,404 ",$0 ,$559 ,"$1,029 ",$168 ,$0 ,$313 
Nebraska,2013,"$12,156 ","$1,645 ","$1,073 ",$330 ,"$1,122 ",$147 ,$29 ,$191 
Nevada,2013,"$9,195 ",$980 ,"$1,515 ",$893 ,$0 ,$0 ,$0 ,$374 
New Hampshire,2013,"$9,519 ","$2,946 ",$0 ,$713 ,$74 ,$416 ,$0 ,$325 
New Jersey,2013,"$11,857 ","$2,970 ",$941 ,$436 ,"$1,348 ",$254 ,$69 ,$659 
New Mexico,2013,"$10,827 ",$666 ,"$1,383 ",$393 ,$583 ,$127 ,$0 ,$205 
New York,2013,"$16,859 ","$2,467 ","$1,291 ",$669 ,"$2,575 ",$585 ,$51 ,$326 
North Carolina,2013,"$9,300 ",$889 ,$797 ,$459 ,"$1,129 ",$131 ,$11 ,$233 
North Dakota,2013,"$15,717 ","$1,130 ","$2,013 ",$712 ,$882 ,$310 ,$0 ,$276 
Ohio,2013,"$10,772 ","$1,179 ",$887 ,$465 ,"$1,250 ",$40 ,$27 ,$240 
Oklahoma,2013,"$9,426 ",$600 ,"$1,152 ",$384 ,$758 ,$152 ,$0 ,$289 
Oregon,2013,"$12,078 ","$1,287 ",$0 ,$454 ,"$1,595 ",$132 ,$26 ,$532 
Pennsylvania,2013,"$10,424 ","$1,362 ",$768 ,$653 ,"$1,194 ",$200 ,$63 ,$726 
Rhode Island,2013,"$11,786 ","$2,245 ",$825 ,$619 ,"$1,020 ",$135 ,$29 ,$493 
South Carolina,2013,"$9,242 ","$1,058 ",$754 ,$325 ,$708 ,$82 ,$0 ,$192 
South Dakota,2013,"$9,967 ","$1,235 ","$1,404 ",$480 ,$0 ,$44 ,$0 ,$113 
Tennessee,2013,"$8,867 ",$835 ,"$1,236 ",$459 ,$40 ,$193 ,$18 ,$222 
Texas,2013,"$8,824 ","$1,584 ","$1,417 ",$555 ,$0 ,$0 ,$0 ,$206 
Utah,2013,"$9,421 ",$966 ,$871 ,$407 ,$981 ,$114 ,$0 ,$243 
Vermont,2013,"$11,701 ","$2,185 ",$564 ,"$1,019 ","$1,048 ",$167 ,$24 ,$434 
Virginia,2013,"$9,396 ","$1,405 ",$594 ,$477 ,"$1,318 ",$93 ,$0 ,$191 
Washington,2013,"$11,276 ","$1,344 ","$1,992 ",$696 ,$0 ,$0 ,$15 ,$398 
West Virginia,2013,"$9,819 ",$791 ,$680 ,$783 ,$967 ,$131 ,$0 ,$245 
Wisconsin,2013,"$11,096 ","$1,639 ",$826 ,$480 ,"$1,255 ",$166 ,$0 ,$428 
Wyoming,2013,"$19,508 ","$2,148 ","$1,474 ",$281 ,$0 ,$0 ,$0 ,$472 
Alabama,2014,"$9,084 ",$522 ,$885 ,$562 ,$678 ,$83 ,$0 ,$45 
Alaska,2014,"$22,090 ","$1,966 ",$302 ,$483 ,$0 ,$554 ,$0 ,$168 
Arizona,2014,"$9,003 ",$997 ,"$1,357 ",$306 ,$522 ,$87 ,$0 ,$40 
Arkansas,2014,"$9,591 ",$668 ,"$1,413 ",$470 ,$879 ,$135 ,$0 ,$90 
California,2014,"$14,041 ","$1,392 ","$1,256 ",$465 ,"$1,760 ",$229 ,$0 ,$122 
Colorado,2014,"$10,686 ","$1,373 ","$1,136 ",$418 ,"$1,059 ",$134 ,$0 ,$70 
Connecticut,2014,"$12,577 ","$2,758 ","$1,101 ",$775 ,"$2,150 ",$174 ,$41 ,$167 
DC,2014,"$22,529 ","$3,164 ","$1,734 ",$711 ,"$2,565 ",$635 ,$49 ,$249 
Delaware,2014,"$12,055 ",$829 ,$0 ,$530 ,"$1,172 ",$304 ,$2 ,$97 
Florida,2014,"$9,114 ","$1,180 ","$1,179 ",$607 ,$0 ,$103 ,$0 ,$43 
Georgia,2014,"$8,591 ","$1,092 ",$883 ,$328 ,$890 ,$94 ,$0 ,$50 
